Date,Open,High,Low,Close,Volume
2023-09-17,1924.2100,1924.6600,1922.6300,1923.3300,0
2023-09-15,1909.9000,1930.5000,1909.8800,1923.9600,0
2023-09-14,1909.2900,1912.9800,1901.0400,1909.9100,0
2023-09-13,1912.9500,1915.8000,1905.6400,1909.3000,0
2023-09-12,1921.7100,1924.5700,1907.6400,1912.9600,0
2023-09-11,1918.9100,1930.7800,1918.4200,1921.7200,0
2023-09-10,1919.8700,1919.8900,1916.6700,1918.9200,0
2023-09-08,1920.3600,1929.7700,1917.4200,1919.0600,0
2023-09-07,1917.1600,1923.6600,1916.2600,1920.3800,0
2023-09-06,1926.6800,1929.2200,1915.3200,1917.1800,0
2023-09-05,1937.6600,1939.0500,1925.4300,1926.6700,0
2023-09-04,1940.6700,1946.3400,1936.7400,1937.6500,0
2023-09-03,1940.2200,1941.1000,1939.5100,1940.6800,0
2023-09-01,1939.7900,1953.0200,1934.4500,1939.7600,0
2023-08-31,1944.3100,1947.9400,1938.9600,1939.8000,0
